Key,Id,English(en),Spanish(es)
"room.name.1",1,"The Walls of Jericho","Los muros de Jericó"
"room.name.2",2,"The Prison of Paul and Silas / The Prison at Philippi","La prisión de Pablo y Silas / La prisión de Filipos"
"room.name.3",3,"The Slaying of Sisera by Jael / The Tent near Kedesh in Canaan","El asesinato de Sísara por Jael / La tienda cerca de Cedes, en Canaán"
"room.name.4",4,"The Tabernacle / The Holy Place","El tabernáculo / El lugar santo"
"room.name.5",5,"The Red Sea Divided","El mar Rojo dividido"
"room.name.6",6,"The Study of the Wise Men / The Observatory of the Magi","El estudio de los sabios / El observatorio de los magos"
"room.name.7",7,"The Jordan River Divided","El río Jordán dividido"
"room.name.8",8,"The Broiled Fishes / By the Sea of Tiberias","Los peces asados / Junto al mar de Tiberias"
"room.name.9",9,"The Fiery Furnace / Babylon","El horno de fuego / Babilonia"
"room.name.10",10,"The Inside of Noah's Ark","El interior del arca de Noé"
"room.name.11",11,"The Second Day of Creation","El segundo día de la creación"
"room.name.12",12,"The Sacrifice of Abraham / Mount Moriah","El sacrificio de Abraham / El monte Moriah"
"room.name.13",13,"The Garden of Eden","El jardín de Edén"
"room.name.14",14,"Sheol and Abraham's Bosom / The Rich Man and Lazarus","El Seol y el seno de Abraham / El rico y Lázaro"
"room.name.15",15,"The Paralytic Lowered through the Roof / The House at Capernaum","El paralítico bajado por el techo / La casa de Capernaum"
"room.name.16",16,"Haman's Gallows / Shushan, the Palace","La horca de Amán / Susa, el palacio"
"room.name.17",17,"The Way to Gaza / The Baptism of the Ethiopian","El camino a Gaza / El bautismo del etíope"
"room.name.18",18,"The Beginning / The Spirit of God upon the Face of the Waters","El principio / El Espíritu de Dios sobre la faz de las aguas"
"room.name.19",19,"The Triumphal Entry / The Entrance into Jerusalem","La entrada triunfal / La entrada en Jerusalén"
"room.name.20",20,"The Woman Taken in Adultery / Outside the Temple","La mujer sorprendida en adulterio / Afuera del templo"
"room.name.21",21,"The Cave Where David Spared Saul / The Wilderness of Engedi","La cueva donde David perdonó a Saúl / El desierto de En-gadi"
"room.name.22",22,"Lot's Wife / Outside Sodom","La mujer de Lot / Afuera de Sodoma"
"room.name.23",23,"Saul's Palace at Gibeah / Saul Attempts to Kill David","El palacio de Saúl en Gabaa / Saúl intenta matar a David"
"room.name.1",1,"The Walls of Jericho","Los muros de Jericó"
"room.name.2",2,"The Prison of Paul and Silas / The Prison at Philippi","La prisión de Pablo y Silas / La prisión de Filipos"
"room.name.3",3,"The Slaying of Sisera by Jael / The Tent near Kedesh in Canaan","El asesinato de Sísara por Jael / La tienda cerca de Cedes, en Canaán"
"room.name.4",4,"The Tabernacle / The Holy Place","El tabernáculo / El lugar santo"
"room.name.5",5,"The Red Sea Divided","El mar Rojo dividido"
"room.name.6",6,"The Study of the Wise Men / The Observatory of the Magi","El estudio de los sabios / El observatorio de los magos"
"room.name.7",7,"The Jordan River Divided","El río Jordán dividido"
"room.name.8",8,"The Broiled Fishes / By the Sea of Tiberias","Los peces asados / Junto al mar de Tiberias"
"room.name.9",9,"The Fiery Furnace / Babylon","El horno de fuego / Babilonia"
"room.name.10",10,"The Inside of Noah's Ark","El interior del arca de Noé"
"room.name.11",11,"The Second Day of Creation","El segundo día de la creación"
"room.name.12",12,"The Sacrifice of Abraham / Mount Moriah","El sacrificio de Abraham / El monte Moriah"
"room.name.13",13,"The Garden of Eden","El jardín de Edén"
"room.name.14",14,"Sheol and Abraham's Bosom / The Rich Man and Lazarus","El Seol y el seno de Abraham / El rico y Lázaro"
"room.name.15",15,"The Paralytic Lowered through the Roof / The House at Capernaum","El paralítico bajado por el techo / La casa de Capernaum"
"room.name.16",16,"Haman's Gallows / Shushan, the Palace","La horca de Amán / Susa, el palacio"
"room.name.17",17,"The Way to Gaza / The Baptism of the Ethiopian","El camino a Gaza / El bautismo del etíope"
"room.name.18",18,"The Beginning / The Spirit of God upon the Face of the Waters","El principio / El Espíritu de Dios sobre la faz de las aguas"
"room.name.19",19,"The Triumphal Entry / The Entrance into Jerusalem","La entrada triunfal / La entrada en Jerusalén"
"room.name.20",20,"The Woman Taken in Adultery / Outside the Temple","La mujer sorprendida en adulterio / Afuera del templo"
"room.name.21",21,"The Cave Where David Spared Saul / The Wilderness of Engedi","La cueva donde David perdonó a Saúl / El desierto de En-gadi"
"room.name.22",22,"Lot's Wife / Outside Sodom","La mujer de Lot / Afuera de Sodoma"
"room.name.23",23,"Saul's Palace at Gibeah / Saul Attempts to Kill David","El palacio de Saúl en Gabaa / Saúl intenta matar a David"
