Key,Id,English(en),Spanish(es)
"menu.visor",29740527616,"With Visor","Con Visor"
"menu.title",617656119296,"Mystery Room","Cuarto Misterioso"
"menu.spanish",19648597487621,"Spanish","Español"
"menu.setting",19648597487617,"SETTINGS","CONFIGURACIONES"
"menu.select",460004814848,"Select","Selecciona"
"menu.novisor",29765693440,"Without Visor","Sin Visor"
"menu.limittime",19648597487618,"Time limit (seconds)","Tiempo límite (segundos)"
"menu.language",19648597487619,"Language","Idioma"
"menu.information",19648576516096,"INFORMATION","INFORMACIÓN"
"menu.english",19648597487620,"English","Inglés"
"menu.developers",19648597487616,"Program develop by David and Ricardo Páez Moreno

2 Corinthians 3:5
Not that we are competent in ourselves to claim anything for ourselves, but our competence comes from God.","Programa desarrollado por David and Ricardo Páez Moreno

2 Corintios 3:5
No es que nos consideremos competentes en nosotros mismos. Nuestra capacidad viene de Dios."
